month,flow,value_omr_mn
2015-03,exports,988.7
2015-03,imports,921.1
2015-03,re_exports,189.3
2015-04,exports,1015.5
2015-04,imports,926.8
2015-04,re_exports,155.1
2015-05,exports,1084.9
2015-05,imports,921.8
2015-05,re_exports,185.3
2015-06,exports,1193.4
2015-06,imports,992.4
2015-06,re_exports,177.6
2015-07,exports,1254.1
2015-07,imports,998.9
2015-07,re_exports,311.6
2015-08,exports,1167.5
2015-08,imports,970.0
2015-08,re_exports,190.7
2015-09,exports,1201.5
2015-09,imports,872.5
2015-09,re_exports,326.8
2015-10,exports,969.4
2015-10,imports,898.5
2015-10,re_exports,215.1
2015-11,exports,1003.8
2015-11,imports,901.3
2015-11,re_exports,267.1
2015-12,exports,954.1
2015-12,imports,999.3
2015-12,re_exports,204.9
2016-03,exports,741.8
2016-03,imports,594.7
2016-03,re_exports,200.6
2016-04,exports,594.0
2016-04,imports,578.4
2016-04,re_exports,112.7
2016-05,exports,851.8
2016-05,imports,829.9
2016-05,re_exports,206.8
2016-06,exports,922.8
2016-06,imports,757.5
2016-06,re_exports,196.0
2016-07,exports,838.9
2016-07,imports,719.7
2016-07,re_exports,155.6
2016-08,exports,904.0
2016-08,imports,895.6
2016-08,re_exports,162.5
2016-09,exports,807.1
2016-09,imports,717.0
2016-09,re_exports,135.9
2016-10,exports,949.3
2016-10,imports,884.2
2016-10,re_exports,182.4
2016-11,exports,946.9
2016-11,imports,741.0
2016-11,re_exports,176.2
2016-12,exports,894.3
2016-12,imports,714.6
2016-12,re_exports,155.4
2017-01,exports,881.8
2017-01,imports,767.1
2017-01,re_exports,121.7
2017-02,exports,934.1
2017-02,imports,593.8
2017-02,re_exports,109.6
2017-03,exports,1036.5
2017-03,imports,999.0
2017-03,re_exports,131.1
2017-04,exports,1013.4
2017-04,imports,829.1
2017-04,re_exports,110.0
2017-05,exports,1131.6
2017-05,imports,969.6
2017-05,re_exports,184.0
2017-06,exports,836.0
2017-06,imports,639.5
2017-06,re_exports,129.4
2017-07,exports,1051.5
2017-07,imports,875.2
2017-07,re_exports,203.5
2017-08,exports,1067.8
2017-08,imports,972.0
2017-08,re_exports,207.7
2017-09,exports,994.2
2017-09,imports,964.5
2017-09,re_exports,218.9
2017-10,exports,1056.5
2017-10,imports,953.0
2017-10,re_exports,212.3
2017-11,exports,1189.8
2017-11,imports,986.6
2017-11,re_exports,223.9
2017-12,exports,1267.3
2017-12,imports,943.5
2017-12,re_exports,256.5
2018-01,exports,1199.6738670000002
2018-01,imports,861.7698410000002
2018-01,re_exports,131.29546499999998
2018-02,exports,1156.286407
2018-02,imports,771.386042
2018-02,re_exports,159.02621499999998
2018-03,exports,1306.944673
2018-03,imports,824.823411
2018-03,re_exports,146.023491
2018-04,exports,1281.0888900000002
2018-04,imports,865.6035629999998
2018-04,re_exports,147.00686500000003
2018-05,exports,1222.1028890000002
2018-05,imports,838.974198
2018-05,re_exports,130.891479
2018-06,exports,1327.5388790000002
2018-06,imports,806.8816929999998
2018-06,re_exports,167.109398
2018-07,exports,1431.272762
2018-07,imports,847.3348709999999
2018-07,re_exports,165.71316700000006
2018-08,exports,1284.139201
2018-08,imports,801.4922889999998
2018-08,re_exports,125.86059299999997
2018-09,exports,1356.2281699999999
2018-09,imports,893.1004690000001
2018-09,re_exports,154.40350099999995
2018-10,exports,1534.1707310000002
2018-10,imports,814.3844290000001
2018-10,re_exports,179.03101100000003
2018-11,exports,1483.5444690000002
2018-11,imports,708.676993
2018-11,re_exports,164.940254
2018-12,exports,1474.1058400000002
2018-12,imports,874.173654
2018-12,re_exports,171.84224600000005
2019-01,exports,1446.6817019999996
2019-01,imports,792.4338640000001
2019-01,re_exports,117.89332199999997
2019-02,exports,1193.22752
2019-02,imports,691.9390539999998
2019-02,re_exports,115.81477299999999
2019-03,exports,1188.9363809999998
2019-03,imports,765.0026480000002
2019-03,re_exports,114.825011
2019-04,exports,1156.873226
2019-04,imports,753.426003
2019-04,re_exports,114.85844199999998
2019-05,exports,1322.182283
2019-05,imports,810.6952190000001
2019-05,re_exports,118.96764999999996
2019-06,exports,1267.3262200000001
2019-06,imports,685.8372229999998
2019-06,re_exports,114.033734
2019-07,exports,1151.274934
2019-07,imports,770.7580429999998
2019-07,re_exports,104.54613700000002
2019-08,exports,1243.879479
2019-08,imports,786.925649
2019-08,re_exports,108.43551099999999
2019-09,exports,1134.871812
2019-09,imports,728.6564699999999
2019-09,re_exports,107.60466299999999
2019-10,exports,1300.148553
2019-10,imports,776.445679
2019-10,re_exports,171.619998
2019-11,exports,1206.072726
2019-11,imports,656.4034310000001
2019-11,re_exports,124.25214400000002
2019-12,exports,1284.8564009999998
2019-12,imports,819.7452050000003
2019-12,re_exports,151.33580899999993
2020-01,exports,1265.445927
2020-01,imports,1032.6422849999997
2020-01,re_exports,186.89912900000004
2020-02,exports,1272.7674729999999
2020-02,imports,971.6169619999998
2020-02,re_exports,210.04638900000003
2020-03,exports,1194.623746
2020-03,imports,1029.516947
2020-03,re_exports,157.61868199999998
2020-04,exports,1158.240343
2020-04,imports,781.2406020000001
2020-04,re_exports,130.42408999999998
2020-05,exports,766.8920210000001
2020-05,imports,687.8475569999999
2020-05,re_exports,62.021373
